Player,Total Cmp,Total Att,Total Cmp%,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,KP,Standard Goals,Standard Shots,Shots on target,Standard SoT%,Tackles Made,Tackles Won,Challenges Att,Challenges Tkl%,matches played,Positions
Marc-André ter Stegen,1193,1412,84.5,228,232,98.3,600,613,97.9,362,564,64.2,3,0,0,0,,0,0,0,,38,GK
Robert Lewandowski,602,793,75.9,369,440,83.9,165,214,77.1,30,46,65.2,35,23,134,56,41.8,17,11,14,50,34,ST
Gavi,1026,1206,85.1,652,711,91.7,289,340,85,55,79,69.6,38,2,28,8,28.6,47,31,55,38.2,36,MF
Alejandro Balde,1482,1670,88.7,892,951,93.8,486,536,90.7,71,106,67,22,1,19,4,21.1,42,30,41,58.5,33,DF
Frenkie de Jong,2089,2320,90,1121,1186,94.5,782,849,92.1,144,186,77.4,45,2,18,10,55.6,46,26,41,41.5,33,MF
Jules Koundé,1775,2024,87.7,827,895,92.4,792,866,91.5,123,182,67.6,16,1,14,1,7.1,37,23,31,67.7,29,DF
Sergio Busquets,1722,1949,88.4,756,825,91.6,745,822,90.6,183,222,82.4,25,0,9,2,22.2,58,26,51,56.9,30,MF
Raphinha,915,1266,72.3,475,556,85.4,304,393,77.4,107,226,47.3,57,7,79,25,31.6,29,19,31,35.5,36,ST
Pedri,1251,1449,86.3,574,632,90.8,485,546,88.8,164,198,82.8,42,6,22,9,40.9,39,22,45,28.9,26,MF
Andreas Christensen,1416,1507,94,549,580,94.7,740,761,97.2,113,142,79.6,6,1,10,5,50,20,15,16,62.5,23,DF
Ronald Araújo,1139,1287,88.5,406,433,93.8,609,652,93.4,110,174,63.2,6,0,18,1,5.6,26,18,9,66.7,22,DF
Ousmane Dembélé,642,854,75.2,376,427,88.1,195,256,76.2,54,106,50.9,41,5,49,16,32.7,19,12,15,26.7,25,ST
Eric García,1142,1257,90.9,429,460,93.3,578,612,94.4,122,158,77.2,1,1,7,1,14.3,24,16,20,45,24,DF
Sergi Roberto,850,936,90.8,514,535,96.1,270,303,89.1,48,64,75,10,4,18,6,33.3,22,15,18,38.9,23,DF
Jordi Alba,1217,1460,83.4,668,728,91.8,441,521,84.6,78,139,56.1,38,2,13,4,30.8,25,18,28,42.9,24,DF
Ferrán Torres,437,576,75.9,250,285,87.7,144,192,75,33,62,53.2,25,4,37,11,29.7,13,7,20,25,33,ST
Ansu Fati,509,609,83.6,359,398,90.2,114,136,83.8,18,23,78.3,16,7,61,18,29.5,16,9,18,27.8,36,ST
Marcos Alonso,896,1005,89.2,360,386,93.3,442,475,93.1,81,117,69.2,6,1,6,2,33.3,15,10,12,75,24,DF
Franck Kessié,391,457,85.6,207,231,89.6,152,174,87.4,20,29,69,8,1,15,3,20,15,9,18,44.4,28,MF
Gerard Piqué,353,385,91.7,102,112,91.1,193,199,97,56,66,84.8,1,0,3,0,0,5,4,4,100,6,DF
Memphis,53,66,80.3,34,38,89.5,14,16,87.5,3,7,42.9,3,1,6,3,50,1,1,1,0,2,ST
Pablo Torre,77,98,78.6,54,62,87.1,16,19,84.2,5,12,41.7,4,0,1,0,0,2,1,4,50,8,MF
Héctor Bellerín,77,96,80.2,48,52,92.3,21,25,84,5,8,62.5,1,0,0,0,,2,0,3,66.7,3,DF
Iñaki Peña,25,27,92.6,3,3,100,18,18,100,4,6,66.7,0,0,0,0,,0,0,0,,2,GK
Ángel Alarcón,,,,,,,,,,,,,,0,1,1,100,,0,,,4,ST
Pierre-Emerick Aubameyang,3,3,100,0,0,,3,3,100,0,0,,0,0,1,0,0,0,0,0,,1,ST
Lamine Yamal,8,9,88.9,6,6,100,1,1,100,1,1,100,0,0,1,1,100,0,0,0,,1,ST
Aleix Garrido,2,3,66.7,2,3,66.7,0,0,,0,0,,0,0,0,0,,2,1,1,100,1,ST
Chadi Riad,1,1,100,1,1,100,0,0,,0,0,,0,0,0,0,,0,0,0,,1,MF
